Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L
New A,257,138.61,0.62271,0.62247,6.157,21.86,21.5,2.03,2101,274.8438
New A,260,140.86,0.63292,0.63285,6.158,20.5,21.5,2.009,2318,274.9331
New A,263,137.65,0.61726,0.6172,6.148,20.49,21.5,2.053,2617,274.4418
New A,266,142.77,0.64096,0.64089,6.152,20.48,21.5,2.017,2934,274.6205
New B,258,138.45,0.74709,0.74689,6.154,21.31,21.5,2.232,2951,274.8885
New B,261,140.57,0.75871,0.75866,6.156,20.31,21.5,2.244,3308,274.9778
New B,264,142.37,0.76787,0.76781,6.15,20.4,21.5,2.26,3514,274.7098
New B,267,141.44,0.76307,0.76301,6.152,20.41,21.5,2.212,3731,274.8438
Old,256,145.07,0.71742,0.71712,6.152,21.97,21.5,2.124,141834,274.8438
Old,259,142.74,0.70551,0.70547,6.152,20.32,21.5,2.129,142131,274.8438
Old,262,141.34,0.69855,0.69851,6.152,20.35,21.5,2.131,142413,274.8885
Old,265,143.04,0.70677,0.70671,6.15,20.4,21.5,2.145,142704,274.7545
